"userNum","name","id","password","contact","address","email","birthDate","sex","signupDate","passwordHash"
1,정다호,cook6583,^6n6#HHcjkG8!G,"010-349-1666",대국 C시 성복구 다라로 77-16,bcpw@email.com,"2000-04-01",1,"2024-11-01",$2b$05$y09Bmh1KpcfUjhgiriomP.ufKB55D3E9aNICbpS2IBR81gVCzUjYK
2,임동수,ballet3292,zmo%Ipjf7h,"010-155-8141",대국 A시 중앙구 다라로 75-68,kon@email.com,"1971-03-08",0,"2024-11-02",$2b$05$1XD53iXGGxYuHfXP0ua/guA1W.KiYCUDHYQwF6JWvlzNQOj1quu1.
3,장다호,code685,hWe$lDP4VmA,"010-289-7068",대국 B시 성복구 사아로 87-04,"7qm@email.com","2001-01-20",0,"2024-11-03",$2b$05$xG6uHaqxiqBcoYN2j7GmHe5jUMnpxKpBB0QeOL7jbvRJ8eHp93KnW
4,김서휘,go3053,HSFxzN$sbi8^,"010-855-7759",대국 C시 성복구 자차로 13-76,psv@email.com,"1995-08-17",1,"2024-11-03",$2b$05$yuy/dQVmg4wTNpliK/AOMuhr7jzouy838sPfHWInNZf2bc7zEhgM6
5,김다린,dream3299,gHZ^fS3vdy2GJG,"010-596-9436",대국 C시 대덕구 사아로 02-51,akg@email.com,"1999-09-10",1,"2024-11-03",$2b$05$jslt0R1h.MxAAfMsGsXZxeEctth.uwhz47yQlXdJ6m510mkcGpe2.
6,정지주,blue118,k9U&jj48!W,"010-699-8936",대국 C시 성복구 다라로 33-71,v9@email.com,"1979-05-23",0,"2024-11-04",$2b$05$JNKgVMkrmCx8.WlDEdNZ1.euZYIzWXw41K1K2wVzBfj61W5WJR2eu
7,강현윤,best6697,^S9Y5%pQGHpCjO,"010-527-1724",대국 B시 성복구 마바로 15-44,bggr@email.com,"2008-06-15",0,"2024-11-04",$2b$05$QzpH9gfz481JDQkwHY/5.eAsbV3MdVH8xkI.yAjHwEf4c4q1zEFXC
8,김은수,code388,DkP1$#NhuL,"010-585-5748",대국 B시 대덕구 가나로 51-57,"7r93@email.com","1967-11-22",1,"2024-11-06",$2b$05$.zYfoDgt6e3UKXKI6lv0v.lvMsHfCdD.btdzcyDpWxR2Ex4S3WFWi
9,김민린,run7652,z&NXhHWjZ&&2Gf,"010-481-8347",대국 C시 강남구 가나로 69-31,wpgb@email.com,"1974-01-01",1,"2024-11-06",$2b$05$I2o..3mzh8GRjbpMtP3wYeQ9mJqps.jKSPYuxk9oE6wZ7VRCyPhkq
10,임은윤,green6271,Y3m5WO@PvZ,"010-858-1859",대국 C시 노은구 사아로 35-82,"40v@email.com","2012-06-07",1,"2024-11-07",$2b$05$CoOmUND2TqJjMWbxToMPj.q3xRK49e7Wt4bZ5sprOEIxTtq3lx1D.
11,박수린,love2759,AxhCF6WHD!,"010-691-4763",대국 B시 성복구 가나로 95-07,qaq3@email.com,"1970-09-14",0,"2024-11-08",$2b$05$PxQwwENJ3qNy5VhJpl2c5ebzUxyHO0ztP4PWeTywmYDJKyrWdpBtO
12,김수휘,cat9879,"4$Ynl*G9IgB","010-747-6875",대국 A시 강남구 사아로 23-72,g4@email.com,"2005-11-27",0,"2024-11-08",$2b$05$zQ0.Efcto1EtFKGPHhtks.qeFsOSTLnlONK9xUvH.dRGd6pN3mJFG
13,정수지,green3808,$ZKMxDG3SnU,"010-191-5648",대국 A시 강남구 마바로 89-47,"3ri@email.com","1989-08-28",0,"2024-11-09",$2b$05$YlBaqPY12cabxNOUMtJFpexLa1wCNj84y6Xxr/EKZKT918/P0bAqq
14,장수윤,cook7899,&4iD*E*R6s@,"010-182-1104",대국 B시 대덕구 다라로 09-61,"929@email.com","1979-08-06",0,"2024-11-09",$2b$05$AbBffk1Ek6OuSr1ishvfc.LTheS3NcU4SUYYnZ6Pl0dvWKgh23.Y.
15,장서수,teddy8313,RdTaBs7U8b8TqA&,"010-391-8469",대국 C시 대덕구 마바로 37-83,w9m@email.com,"1991-04-07",0,"2024-11-10",$2b$05$nvkNS0iH1AfBLyaBG8VcF.w6pz8Apg6A0BxyOF3HFM/.l9arcWbvG
16,윤민주,love9595,#dKNVMbOx#3ek,"010-526-8798",대국 C시 강남구 마바로 75-95,"8l00@email.com","1983-02-28",1,"2024-11-10",$2b$05$g9FDWF7JcSO2RRMwEFICeOR6i4rlazHqwin3/G7m/03x9mEbMFwtW
17,김수린,sky8992,"6u#dDmVQWP3mFO","010-467-5846",대국 C시 중앙구 가나로 67-86,i44t@email.com,"1983-09-03",1,"2024-11-11",$2b$05$pgxNESdorM6i32g4Z4a2SOBI/9penwE205rRQ4wxxzcaU8PITKmL2
18,이민윤,cat9603,"4mhmuUfF*1WU1s","010-919-2075",대국 C시 강남구 사아로 13-21,d5g@email.com,"1992-11-15",0,"2024-11-13",$2b$05$wZN.F9Q5EDB.EQ74/ySLe.9Txo0PfP1TPzkUHjckselDo4/oOmSai
19,이민휘,teddy9798,"1t@kE%pFyb","010-455-7883",대국 A시 성복구 자차로 51-25,lu@email.com,"1993-10-26",0,"2024-11-13",$2b$05$JgmLjTKtfGF2epxOKPe3ceETjIPePrOlA3pQMjJNiv.dLLcwZO8gK
